X_p,X_quali,p_MktSh
1.500000,0.833333,116.666667
1.500000,1.500000,116.666667
1.500000,1.500000,50.000000
0.833333,1.500000,50.000000
0.500000,1.166667,150.000000
0.500000,0.500000,150.000000
0.500000,0.500000,83.333333
1.166667,0.500000,83.333333
0.500000,1.166667,50.000000
0.500000,0.500000,50.000000
0.500000,0.500000,116.666667
1.166667,0.500000,116.666667
1.500000,1.166667,150.000000
1.500000,0.500000,150.000000
1.500000,0.500000,83.333333
0.833333,0.500000,83.333333
0.500000,0.833333,50.000000
0.500000,1.500000,50.000000
0.500000,1.500000,116.666667
1.166667,1.500000,116.666667
1.500000,0.833333,50.000000
1.500000,1.500000,50.000000
1.500000,1.500000,116.666667
0.833333,1.500000,116.666667
1.500000,0.833333,83.333333
1.500000,1.500000,83.333333
1.500000,1.500000,150.000000
0.833333,1.500000,150.000000
0.500000,1.166667,116.666667
0.500000,0.500000,116.666667
0.500000,0.500000,50.000000
1.166667,0.500000,50.000000
1.500000,1.166667,83.333333
1.500000,0.500000,83.333333
1.500000,0.500000,150.000000
0.833333,0.500000,150.000000
0.500000,0.833333,150.000000
0.500000,1.500000,150.000000
0.500000,1.500000,83.333333
1.166667,1.500000,83.333333
